#,Name,Pos.,Ht.,Yr.,Hometown/Previous School,Hometown / High School,ImageURL,Team
2,Mara Neira,G,5-9,Gr.,"Baiona, Spain / Presbyterian/Appalachian State","Baiona, Spain / ",https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/2_Mara_Neira_Headshot.jpg?width=80&quality=90,usf
3,Noelia Mouriño,F,6-2,Fr.,"O Porrino, Spain / Segle XXI Barcelona","O Porrino, Spain / ",https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/3_Noelia_Mourino_Headshot.jpg?width=80&quality=90,usf
4,Meghan McIntyre,G,5-6,Gr.,"Garden Grove, Calif. / Southern Oregon/Orange Coast CC/Golden West CC","Garden Grove, Calif. / ",https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/4_Meghan_McIntyre_Headshot.jpg?width=80&quality=90,usf
7,Nevaeh Ferrara Horne,F,6-2,Jr.,"Regina, Saskatchewan, Canada / North Dakota","Regina, Saskatchewan, Canada / ",https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/7_Nevaeh_Ferrera_Horne_Headshot.jpg?width=80&quality=90,usf
9,Aina Cargol,G,5-9,Fr.,"Olot, Spain / Spar Girona","Olot, Spain / ",https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/9_Aina_Cargol_Headshot.jpg?width=80&quality=90,usf
10,Amy Pateman,G,5-8,Fr.,"Auckland, New Zealand / ","Auckland, New Zealand / Westlake Girls High School",https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/10_Amy_Pateman_Headshot.jpg?width=80&quality=90,usf
12,Nataša Taušová,F,6-3,Fr.,"Poprad, Slovakia / Piestanske Cajky","Poprad, Slovakia / ",https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/12_Natasa_Tausova_Headshot.jpg?width=80&quality=90,usf
14,Michelle Ugwah,F,6-1,R-So.,"Cork, Ireland / Morehead State","Cork, Ireland / ",https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/14_Michelle_Ugwah_Headshot.jpg?width=80&quality=90,usf
21,Olivia Williams,G,6-1,R-Sr.,"South San Francisco, Calif. / UC Irvine","South San Francisco, Calif. / ",https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/21_Olivia_Williams_Headshot.jpg?width=80&quality=90,usf
22,Paula Tirado,G,5-7,R-So.,"Mataro, Spain / IES Damià Campeny","Mataro, Spain / ",https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/22_Paula_Tirado_Headshot.jpg?width=80&quality=90,usf
23,Candy Edokpaigbe,G,6-0,So.,"Naples, Italy / Seattle U","Naples, Italy / ",https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/23_Candy_Edkopaigbe_Headshot.jpg?width=80&quality=90,usf
24,Sol Castro,F,6-1,Gr.,"Rio Colorado, Argentina / Robert Morris","Rio Colorado, Argentina / ",https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/24_Sol_Castro_Headshot.jpg?width=80&quality=90,usf
32,Sophia Priestley,F,6-2,Fr.,"Oslo, Norway / Ullern IF Oslo","Oslo, Norway / ",https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/32_Sophia_Priestley_Headshot.jpg?width=80&quality=90,usf
