Team,Player
UserTeam1,Sophie Glancey
UserTeam1,Sydney Ward
UserTeam1,Maia Jones
UserTeam1,Nicole Anderson
UserTeam1,Lauren Glazier
UserTeam1,Irune Orio
UserTeam1,Lainey Spear
UserTeam1,Jada Hunter
UserTeam1,Teryn Gardner
UserTeam1,Alana Goodchild
UserTeam2,Ashley Hawkins
UserTeam2,Sierra Lichtie
UserTeam2,Kylee Fox
UserTeam2,Ines Bettencourt
UserTeam2,Nevaeh Ferrara Horne
UserTeam2,Jenna Villa
UserTeam2,Ava Schmidt
UserTeam2,Edie Clarke
UserTeam2,Mauriana Hashemian-Orr
UserTeam2,Nyah Lowery
UserTeam3,Maya Hernandez
UserTeam3,Eleonora Villa
UserTeam3,Lina Falk
UserTeam3,Olivia Williams
UserTeam3,Mara Neira
UserTeam3,Marina Radocaj
UserTeam3,Emily Foy
UserTeam3,Carly Heidger
UserTeam3,Ally Schimel
UserTeam3,McKynnlie Dalan
UserTeam4,Jess Lawson
UserTeam4,Kennedie Shuler
UserTeam4,Malia Latu
UserTeam4,Ella Brubaker
UserTeam4,Winner Bartholomew
UserTeam4,Georgia Grigoropoulou
UserTeam4,Abigail Shoff
UserTeam4,Marta Alsina
UserTeam4,Charlotte Abraham
UserTeam4,Taija Sta. Maria
UserTeam5,Catarina Ferreira
UserTeam5,Candy Edokpaigbe
UserTeam5,Zeryhia Aokuso
UserTeam5,Tiara Bolden
UserTeam5,Mackenzie Chatfield
UserTeam5,Rhyan Mogel
UserTeam5,Aaliyah Ibarra
UserTeam5,Zawadi Ogot
UserTeam5,Andjela Bigovic
UserTeam5,Allison Clarke
UserTeam6,Taylor Smith
UserTeam6,Allie Turner
UserTeam6,Alex Covill
UserTeam6,Aniya Hooker
UserTeam6,Ivory Finley
UserTeam6,Andjela Matic
UserTeam6,Michelle Ugwah
UserTeam6,Daria Nestorov
UserTeam6,Meghan Fiso
UserTeam6,Dyani Ananiev
