NO.,NAME,POS.,HGT.,CL./El.,HOMETOWN / PREVIOUS SCHOOL,Previous School,ImageURL,Team
0,Goundo Diakite Bayo,F,6-1,Fr.,"Barcelona, Spain / IES Carles Vallbona",,https://portlandpilots.com/images/2025/10/15/Diakite_Goundoba26web.JPG?width=80&quality=90,portland
2,Dyani Ananiev,G,6-2,R-So.,"St. Andrews, Australia / Wyndham",,https://portlandpilots.com/images/2025/10/15/Ananiev_Dyani26web.JPG?width=80&quality=90,portland
3,Florence Dallow,G,6-2,R-So.,"Auckland, New Zealand / Epsom Girls Grammar School",,https://portlandpilots.com/images/2025/10/15/Dallow_Florence26web.JPG?width=80&quality=90,portland
5,Aubrey Herrin,G,6-1,Fr.,"Kennewick, Wash. / Kamiakin HS",,https://portlandpilots.com/images/2025/10/15/Herrin_Aubrey26web.JPG?width=80&quality=90,portland
7,Tiffany Barbosa,G,5-10,So.,"Stockholm, Sweden / RIG Lulea",,https://portlandpilots.com/images/2025/10/15/Barbosa_Tiffany26web.jpg?width=80&quality=90,portland
9,Jada Kennedy,C,6-5,Fr.,"Melbourne, Australia / Siena College",,https://portlandpilots.com/images/2025/10/15/Kennedy_Jada26web.JPG?width=80&quality=90,portland
10,Natalie Fraley,G,6-0,Sr.,"Kelso, Wash. / Kelso HS",Utah State,https://portlandpilots.com/images/2025/10/15/Fraley_Natalie26web.JPG?width=80&quality=90,portland
12,Brynn Smith,G,6-0,Fr.,"Eugene, Ore. / Willamette HS",,https://portlandpilots.com/images/2025/10/15/Smith_Brynn26web.JPG?width=80&quality=90,portland
14,Caitlin Monahan,G,5-10,Rf.,"Mercer Island, Wash. / Mercer Island HS",,https://portlandpilots.com/images/2025/10/15/Monahan_Caitlyn26web.JPG?width=80&quality=90,portland
17,Nicole Anderson,G,5-8,Gr.,"Eastvale, Calif. / Rosary Academy",LMU/SMU,https://portlandpilots.com/images/2025/10/15/Rodriguez_Nicole26web.JPG?width=80&quality=90,portland
20,Lainey Spear,F,6-2,Jr.,"Portland, Ore. / Beaverton HS",,https://portlandpilots.com/images/2025/10/15/Spear_Lainey26web.JPG?width=80&quality=90,portland
22,Rhyan Mogel,G,5-10,Jr.,"Happy Valley, Ore. / Clackamas HS",,https://portlandpilots.com/images/2025/10/15/Mogel_Rhyan26web.JPG?width=80&quality=90,portland
35,Camille Dake,G,6-0,Fr.,"Vista, Calif. / Rancho Buena Vista HS",,https://portlandpilots.com/images/2025/10/15/Dake_Camille26web.jpg?width=80&quality=90,portland   
42,Ella Zimmerman,F/C,6-4,So.,"Redondo Beach, Calif. / Redondo Union HS",,https://portlandpilots.com/images/2025/10/15/Zimmerman_Ella26web.JPG?width=80&quality=90,portland
44,Julia Dalan,C/F,6-3,Fr.,"Centralia, Wash. / W.F. West HS",,https://portlandpilots.com/images/2025/10/15/Dalan_Julia26web.JPG?width=80&quality=90,portland
0,Goundo Diakite Bayo,F,6-1,Fr.,"Barcelona, Spain","IES Carles Vallbona",https://portlandpilots.com/images/2025/10/15/Diakite_Goundoba26web.JPG?width=80&quality=90,portland
2,Dyani Ananiev,G,6-2,R-So.,"St. Andrews, Australia","Wyndham",https://portlandpilots.com/images/2025/10/15/Ananiev_Dyani26web.JPG?width=80&quality=90,portland
3,Florence Dallow,G,6-2,R-So.,"Auckland, New Zealand","Epsom Girls Grammar School",https://portlandpilots.com/images/2025/10/15/Dallow_Florence26web.JPG?width=80&quality=90,portland
5,Aubrey Herrin,G,6-1,Fr.,"Kennewick, WA","Kamiakin HS",https://portlandpilots.com/images/2025/10/15/Herrin_Aubrey26web.JPG?width=80&quality=90,portland
7,Tiffany Barbosa,G,5-10,So.,"Stockholm, Sweden","RIG Lulea",https://portlandpilots.com/images/2025/10/15/Barbosa_Tiffany26web.jpg?width=80&quality=90,portland
9,Jada Kennedy,C,6-5,Fr.,"Melbourne, Australia","Siena College",https://portlandpilots.com/images/2025/10/15/Kennedy_Jada26web.JPG?width=80&quality=90,portland
10,Natalie Fraley,G,6-0,Sr.,"Kelso, WA","Utah State / Kelso HS",https://portlandpilots.com/images/2025/10/15/Fraley_Natalie26web.JPG?width=80&quality=90,portland
12,Brynn Smith,G,6-0,Fr.,"Eugene, OR","Willamette HS",https://portlandpilots.com/images/2025/10/15/Smith_Brynn26web.JPG?width=80&quality=90,portland
14,Caitlin Monahan,G,5-10,R-Fr.,"Mercer Island, WA","Mercer Island HS",https://portlandpilots.com/images/2025/10/15/Monahan_Caitlyn26web.JPG?width=80&quality=90,portland
17,Nicole Anderson,G,5-8,Gr.,"Eastvale, CA","LMU / SMU / Rosary Academy",https://portlandpilots.com/images/2025/10/15/Rodriguez_Nicole26web.JPG?width=80&quality=90,portland
20,Lainey Spear,F,6-2,Jr.,"Portland, OR","Beaverton HS",https://portlandpilots.com/images/2025/10/15/Spear_Lainey26web.JPG?width=80&quality=90,portland
22,Rhyan Mogel,G,5-10,Jr.,"Happy Valley, OR","Clackamas HS",https://portlandpilots.com/images/2025/10/15/Mogel_Rhyan26web.JPG?width=80&quality=90,portland
35,Camille Dake,G,6-0,Fr.,"Vista, CA","Rancho Buena Vista HS",https://portlandpilots.com/images/2025/10/15/Dake_Camille26web.jpg?width=80&quality=90,portland
42,Ella Zimmerman,F/C,6-4,So.,"Redondo Beach, CA","Redondo Union HS",https://portlandpilots.com/images/2025/10/15/Zimmerman_Ella26web.JPG?width=80&quality=90,portland
44,Julia Dalan,C/F,6-3,Fr.,"Centralia, WA","W.F. West HS",https://portlandpilots.com/images/2025/10/15/Dalan_Julia26web.JPG?width=80&quality=90,portland
